Version Checksum Elapsed_time grid_size N_gangs vec_length
 0 263536 29.1735 4096 0 0
 1 263536 169.94 4096 1 128
 2 263536 169.952 4096 1 128
 3 263536 170.379 4096 1 128
 0 263536 28.6505 4096 0 0
 1 263536 170.516 4096 1 128
 2 263536 169.899 4096 1 128
 3 263536 170.358 4096 1 128
 0 263536 29.1945 4096 0 0
 1 263536 169.978 4096 1 128
 2 263536 169.91 4096 1 128
 3 263536 170.364 4096 1 128
 0 263536 28.7068 4096 0 0
 1 263536 169.956 4096 1 128
 2 263536 169.995 4096 1 128
 3 263536 170.382 4096 1 128
 0 263536 29.1361 4096 0 0
 1 263536 169.99 4096 1 128
 2 263536 169.879 4096 1 128
 3 263536 170.814 4096 1 128
 0 263536 29.077 4096 0 0
 1 263536 169.952 4096 1 128
 2 263536 170.639 4096 1 128
 3 263536 170.382 4096 1 128
 1 263536 32.7908 4096 6 128
 2 263536 32.7295 4096 6 128
 3 263536 33.2817 4096 6 128
 1 263536 32.7668 4096 6 128
 2 263536 32.73 4096 6 128
 3 263536 33.2445 4096 6 128
 1 263536 32.8652 4096 6 128
 2 263536 32.8774 4096 6 128
 3 263536 33.2234 4096 6 128
 1 263536 32.7736 4096 6 128
 2 263536 32.7163 4096 6 128
 3 263536 33.2101 4096 6 128
 1 263536 32.7653 4096 6 128
 2 263536 32.7198 4096 6 128
 3 263536 33.3195 4096 6 128
 1 263536 32.7938 4096 6 128
 2 263536 32.8246 4096 6 128
 3 263536 33.2272 4096 6 128
 1 263536 19.3164 4096 11 128
 2 263536 19.245 4096 11 128
 3 263536 19.4587 4096 11 128
 1 263536 19.3178 4096 11 128
 2 263536 19.2453 4096 11 128
 3 263536 19.4418 4096 11 128
 1 263536 19.3023 4096 11 128
 2 263536 19.2666 4096 11 128
 3 263536 19.4913 4096 11 128
 1 263536 19.314 4096 11 128
 2 263536 19.2756 4096 11 128
 3 263536 19.5819 4096 11 128
 1 263536 19.3249 4096 11 128
 2 263536 19.2529 4096 11 128
 3 263536 19.5118 4096 11 128
 1 263536 19.4053 4096 11 128
 2 263536 19.2639 4096 11 128
 3 263536 19.5886 4096 11 128
 1 263536 14.5652 4096 16 128
 2 263536 14.5316 4096 16 128
 3 263536 14.6637 4096 16 128
 1 263536 14.5702 4096 16 128
 2 263536 14.504 4096 16 128
 3 263536 14.6736 4096 16 128
 1 263536 14.5455 4096 16 128
 2 263536 14.4892 4096 16 128
 3 263536 14.87 4096 16 128
 1 263536 14.5502 4096 16 128
 2 263536 14.5295 4096 16 128
 3 263536 14.7847 4096 16 128
 1 263536 14.5508 4096 16 128
 2 263536 14.5286 4096 16 128
 3 263536 14.6549 4096 16 128
 1 263536 14.5542 4096 16 128
 2 263536 14.7393 4096 16 128
 3 263536 14.6809 4096 16 128
 1 263536 11.6978 4096 21 128
 2 263536 11.6629 4096 21 128
 3 263536 11.8374 4096 21 128
 1 263536 11.6909 4096 21 128
 2 263536 11.5945 4096 21 128
 3 263536 11.8391 4096 21 128
 1 263536 11.9129 4096 21 128
 2 263536 11.6041 4096 21 128
 3 263536 11.8602 4096 21 128
 1 263536 11.6896 4096 21 128
 2 263536 11.5987 4096 21 128
 3 263536 11.8482 4096 21 128
 1 263536 11.6593 4096 21 128
 2 263536 11.6121 4096 21 128
 3 263536 11.8467 4096 21 128
 1 263536 11.6633 4096 21 128
 2 263536 11.5951 4096 21 128
 3 263536 11.8615 4096 21 128
 1 263536 10.0259 4096 26 128
 2 263536 9.94603 4096 26 128
 3 263536 10.1371 4096 26 128
