Version Checksum Elapsed_time grid_size N_gangs vec_length
 0 16471 1.61019 1024 0 0
 1 16471 6.75827 1024 2 128
 2 16471 5.8492 1024 2 128
 3 16471 6.76094 1024 2 128
 0 16471 1.61145 1024 0 0
 1 16471 6.77258 1024 2 128
 2 16471 5.95815 1024 2 128
 3 16471 9.87206 1024 2 128
 0 16471 1.59819 1024 0 0
 1 16471 10.0038 1024 2 128
 2 16471 9.74311 1024 2 128
 3 16471 8.93144 1024 2 128
 0 16471 1.60202 1024 0 0
 1 16471 5.89802 1024 2 128
 2 16471 5.8742 1024 2 128
 3 16471 5.92823 1024 2 128
 0 16471 1.6073 1024 0 0
 1 16471 5.91148 1024 2 128
 2 16471 5.82471 1024 2 128
 3 16471 6.7859 1024 2 128
 0 16471 1.60693 1024 0 0
 1 16471 6.6815 1024 2 128
 2 16471 6.6022 1024 2 128
 3 16471 7.19652 1024 2 128
 0 16471 1.6279 1024 0 0
 1 16471 6.69349 1024 2 128
 2 16471 5.82812 1024 2 128
 3 16471 5.90736 1024 2 128
 0 16471 1.6313 1024 0 0
 1 16471 5.91334 1024 2 128
 2 16471 7.21977 1024 2 128
 3 16471 5.90194 1024 2 128
 0 16471 1.61586 1024 0 0
 1 16471 6.87853 1024 2 128
 2 16471 15.6331 1024 2 128
 3 16471 17.7109 1024 2 128
 1 37059.7 7.02548 1536 4 128
 2 37059.7 6.94983 1536 4 128
 3 37059.7 11.7238 1536 4 128
 1 37059.7 25.6861 1536 4 128
 2 37059.7 21.1446 1536 4 128
 3 37059.7 17.6121 1536 4 128
 1 37059.7 21.6359 1536 4 128
 2 37059.7 20.7759 1536 4 128
 3 37059.7 20.8551 1536 4 128
 1 37059.7 9.29187 1536 4 128
 2 37059.7 20.5088 1536 4 128
 3 37059.7 21.1115 1536 4 128
 1 37059.7 26.2162 1536 4 128
 2 37059.7 8.08553 1536 4 128
 3 37059.7 7.03752 1536 4 128
 1 37059.7 22.7703 1536 4 128
 2 37059.7 18.2936 1536 4 128
 3 37059.7 7.06164 1536 4 128
 1 37059.7 6.965 1536 4 128
 2 37059.7 6.94918 1536 4 128
 3 37059.7 7.06725 1536 4 128
 1 37059.7 7.01307 1536 4 128
 2 37059.7 6.95231 1536 4 128
