Check Size NLON NLAT TIME VERSION
2.25043e+07 1 1 1 1.48813 0
2.25043e+07 1 1 1 1.4925 0
2.25043e+07 1 1 1 1.49111 0
2.25043e+07 1 1 1 1.48826 0
2.25043e+07 1 1 1 1.48332 0
2.25043e+07 1 1 1 1.48632 0
2.25043e+07 1 1 1 1.48672 0
2.25043e+07 1 1 1 1.48719 0
2.25043e+07 1 1 1 1.48618 0
2.25043e+07 1 1 1 1.48891 0
2.25043e+07 1 1 1 1.48546 0
2.25043e+07 1 1 1 1.48764 0
2.25043e+07 1 1 1 1.4872 0
2.25043e+07 1 1 1 1.48613 0
2.25043e+07 1 1 1 1.48853 0
2.25043e+07 1 1 1 1.48574 0
2.25043e+07 1 1 1 1.4873 0
2.25043e+07 1 1 1 1.49315 0
2.25043e+07 1 1 1 1.48611 0
2.25043e+07 1 1 1 1.48819 0
2.25043e+07 1 1 1 1.48663 0
2.25043e+07 1 1 1 1.48593 0
2.25043e+07 1 1 1 1.48746 0
2.25043e+07 1 1 1 1.48537 0
2.25043e+07 1 1 1 1.48731 0
2.25043e+07 1 1 1 1.49079 0
2.25043e+07 1 1 1 1.48536 0
2.25043e+07 1 1 1 1.48509 0
2.25043e+07 1 1 1 1.48473 0
2.25043e+07 1 1 1 1.48616 0
2.25043e+07 1 1 1 1.48487 0
2.25043e+07 1 1 1 1.48618 0
2.25043e+07 1 1 1 1.48779 0
5.11059e+08 1 1 1 187.81 1
5.11059e+08 1 1 1 188.67 1
5.11059e+08 1 1 1 188.932 1
5.11059e+08 1 1 1 188.575 1
5.11059e+08 1 1 1 187.792 1
5.11059e+08 1 1 1 189.185 1
5.11059e+08 1 1 1 188.062 1
5.11059e+08 1 1 1 188.032 1
5.11059e+08 1 1 1 188.777 1
5.11059e+08 1 1 1 187.495 1
5.11059e+08 1 1 1 187.195 1
5.11059e+08 1 1 1 187.407 1
5.11059e+08 1 1 1 189.042 1
5.11059e+08 1 1 1 188.72 1
5.11059e+08 1 1 1 188.817 1
5.11059e+08 1 1 1 188.713 1
5.11059e+08 1 1 1 187.248 1
2.25043e+07 2 1 2 1.00107 0
2.25043e+07 2 1 2 0.958427 0
2.25043e+07 2 1 2 0.997151 0
2.25043e+07 2 1 2 0.988039 0
2.25043e+07 2 1 2 1.00296 0
2.25043e+07 2 1 2 1.00413 0
2.25043e+07 2 1 2 0.995633 0
2.25043e+07 2 1 2 0.955897 0
2.25043e+07 2 1 2 1.00607 0
2.25043e+07 2 1 2 1.00632 0
2.25043e+07 2 1 2 1.00254 0
2.25043e+07 2 1 2 0.953846 0
2.25043e+07 2 1 2 0.957201 0
2.25043e+07 2 1 2 0.989431 0
2.25043e+07 2 1 2 0.991545 0
2.25043e+07 2 1 2 1.00497 0
2.25043e+07 2 1 2 1.00444 0
2.25043e+07 2 1 2 0.961013 0
2.25043e+07 2 1 2 1.0065 0
2.25043e+07 2 1 2 0.997931 0
2.25043e+07 2 1 2 0.962202 0
2.25043e+07 2 1 2 0.965516 0
2.25043e+07 2 1 2 1.00814 0
2.25043e+07 2 1 2 0.960438 0
2.25043e+07 2 1 2 0.957772 0
2.25043e+07 2 1 2 1.00309 0
2.25043e+07 2 1 2 1.0029 0
2.25043e+07 2 1 2 1.0035 0
2.25043e+07 2 1 2 1.00012 0
2.25043e+07 2 1 2 1.00383 0
2.25043e+07 2 1 2 1.00225 0
2.25043e+07 2 1 2 0.964776 0
2.25043e+07 2 1 2 0.996984 0
5.11059e+08 2 1 2 115.29 1
5.11059e+08 2 1 2 116.574 1
5.11059e+08 2 1 2 113.404 1
5.11059e+08 2 1 2 116.179 1
5.11059e+08 2 1 2 113.258 1
5.11059e+08 2 1 2 116.147 1
5.11059e+08 2 1 2 116.423 1
5.11059e+08 2 1 2 115.549 1
5.11059e+08 2 1 2 115.657 1
5.11059e+08 2 1 2 115.764 1
5.11059e+08 2 1 2 114.023 1
5.11059e+08 2 1 2 115.804 1
5.11059e+08 2 1 2 116.091 1
5.11059e+08 2 1 2 115.359 1
5.11059e+08 2 1 2 114.726 1
5.11059e+08 2 1 2 115.173 1
5.11059e+08 2 1 2 115.374 1
2.25043e+07 4 2 2 0.549369 0
2.25043e+07 4 2 2 0.54975 0
2.25043e+07 4 2 2 0.547415 0
2.25043e+07 4 2 2 0.553897 0
2.25043e+07 4 2 2 0.546956 0
2.25043e+07 4 2 2 0.54346 0
2.25043e+07 4 2 2 1.59269 0
2.25043e+07 4 2 2 0.546047 0
2.25043e+07 4 2 2 0.548921 0
2.25043e+07 4 2 2 0.546768 0
2.25043e+07 4 2 2 0.548607 0
2.25043e+07 4 2 2 0.541993 0
2.25043e+07 4 2 2 0.547358 0
2.25043e+07 4 2 2 0.548539 0
2.25043e+07 4 2 2 0.546808 0
2.25043e+07 4 2 2 0.548397 0
2.25043e+07 4 2 2 0.605246 0
2.25043e+07 4 2 2 0.546071 0
2.25043e+07 4 2 2 0.547731 0
2.25043e+07 4 2 2 0.549179 0
2.25043e+07 4 2 2 0.550518 0
2.25043e+07 4 2 2 0.705006 0
2.25043e+07 4 2 2 0.5501 0
2.25043e+07 4 2 2 0.543449 0
2.25043e+07 4 2 2 0.52709 0
2.25043e+07 4 2 2 0.549545 0
2.25043e+07 4 2 2 0.541454 0
2.25043e+07 4 2 2 0.548169 0
2.25043e+07 4 2 2 0.546131 0
2.25043e+07 4 2 2 0.55238 0
2.25043e+07 4 2 2 0.546737 0
2.25043e+07 4 2 2 0.541303 0
2.25043e+07 4 2 2 0.544985 0
5.11059e+08 4 2 2 95.4707 1
5.11059e+08 4 2 2 96.3893 1
5.11059e+08 4 2 2 96.8337 1
5.11059e+08 4 2 2 96.8848 1
5.11059e+08 4 2 2 96.2137 1
5.11059e+08 4 2 2 96.3081 1
5.11059e+08 4 2 2 96.3276 1
5.11059e+08 4 2 2 96.5381 1
5.11059e+08 4 2 2 95.1062 1
5.11059e+08 4 2 2 96.6853 1
5.11059e+08 4 2 2 96.6796 1
5.11059e+08 4 2 2 96.7401 1
5.11059e+08 4 2 2 96.1994 1
5.11059e+08 4 2 2 95.999 1
5.11059e+08 4 2 2 95.5783 1
5.11059e+08 4 2 2 96.3809 1
5.11059e+08 4 2 2 96.6611 1
2.25043e+07 6 3 2 0.452282 0
2.25043e+07 6 3 2 0.44923 0
2.25043e+07 6 3 2 0.447672 0
2.25043e+07 6 3 2 0.451196 0
2.25043e+07 6 3 2 0.448438 0
2.25043e+07 6 3 2 0.448134 0
2.25043e+07 6 3 2 0.44878 0
2.25043e+07 6 3 2 0.447454 0
2.25043e+07 6 3 2 0.447559 0
2.25043e+07 6 3 2 0.450395 0
2.25043e+07 6 3 2 0.442928 0
2.25043e+07 6 3 2 0.445758 0
2.25043e+07 6 3 2 0.449692 0
2.25043e+07 6 3 2 0.449804 0
2.25043e+07 6 3 2 0.444053 0
2.25043e+07 6 3 2 0.447736 0
2.25043e+07 6 3 2 0.448362 0
2.25043e+07 6 3 2 0.449412 0
2.25043e+07 6 3 2 0.450573 0
2.25043e+07 6 3 2 0.448011 0
2.25043e+07 6 3 2 0.450895 0
2.25043e+07 6 3 2 0.453769 0
2.25043e+07 6 3 2 0.451508 0
2.25043e+07 6 3 2 0.447135 0
2.25043e+07 6 3 2 0.448095 0
2.25043e+07 6 3 2 0.445446 0
2.25043e+07 6 3 2 0.44795 0
2.25043e+07 6 3 2 0.445947 0
2.25043e+07 6 3 2 0.448441 0
2.25043e+07 6 3 2 0.451465 0
2.25043e+07 6 3 2 0.448681 0
2.25043e+07 6 3 2 0.44963 0
2.25043e+07 6 3 2 0.448243 0
5.11059e+08 6 3 2 88.3161 1
5.11059e+08 6 3 2 88.0463 1
5.11059e+08 6 3 2 88.3513 1
5.11059e+08 6 3 2 88.4304 1
5.11059e+08 6 3 2 88.1181 1
5.11059e+08 6 3 2 88.3098 1
5.11059e+08 6 3 2 88.4025 1
5.11059e+08 6 3 2 88.486 1
5.11059e+08 6 3 2 88.3778 1
5.11059e+08 6 3 2 88.5427 1
5.11059e+08 6 3 2 88.2271 1
5.11059e+08 6 3 2 88.4846 1
5.11059e+08 6 3 2 87.9964 1
5.11059e+08 6 3 2 88.1884 1
5.11059e+08 6 3 2 88.1831 1
5.11059e+08 6 3 2 88.3354 1
5.11059e+08 6 3 2 88.1844 1
2.25043e+07 8 4 2 0.381815 0
2.25043e+07 8 4 2 0.390256 0
2.25043e+07 8 4 2 0.38698 0
2.25043e+07 8 4 2 0.38897 0
2.25043e+07 8 4 2 0.390515 0
2.25043e+07 8 4 2 0.389069 0
2.25043e+07 8 4 2 0.384854 0
2.25043e+07 8 4 2 0.386215 0
2.25043e+07 8 4 2 0.386377 0
2.25043e+07 8 4 2 0.38961 0
2.25043e+07 8 4 2 0.388344 0
2.25043e+07 8 4 2 0.387164 0
2.25043e+07 8 4 2 0.386403 0
2.25043e+07 8 4 2 0.383951 0
2.25043e+07 8 4 2 0.390689 0
2.25043e+07 8 4 2 0.384402 0
2.25043e+07 8 4 2 0.390718 0
2.25043e+07 8 4 2 0.387837 0
2.25043e+07 8 4 2 0.38898 0
2.25043e+07 8 4 2 0.383366 0
2.25043e+07 8 4 2 0.388347 0
2.25043e+07 8 4 2 0.390003 0
2.25043e+07 8 4 2 0.381801 0
2.25043e+07 8 4 2 0.384455 0
2.25043e+07 8 4 2 0.386264 0
2.25043e+07 8 4 2 0.38845 0
2.25043e+07 8 4 2 0.385566 0
