Check Size NLON NLAT TIME VERSION
1.20725e+09 220 20 11 158.266 2
1.20725e+09 220 20 11 157.752 2
1.20725e+09 220 20 11 158.217 2
1.20725e+09 220 20 11 142.032 2
1.20725e+09 220 20 11 159.423 2
1.20725e+09 220 20 11 157.475 2
1.20725e+09 220 20 11 160.224 2
1.20725e+09 180 18 10 151.83 2
1.20725e+09 180 18 10 131.4 2
1.20725e+09 180 18 10 151.065 2
1.20725e+09 180 18 10 143.907 2
1.20725e+09 180 18 10 152.31 2
1.20725e+09 180 18 10 134.499 2
1.20725e+09 180 18 10 153.168 2
1.20725e+09 180 18 10 131.05 2
1.20725e+09 180 18 10 152.342 2
1.20725e+09 144 16 9 131.491 2
1.20725e+09 144 16 9 159.391 2
1.20725e+09 144 16 9 130.744 2
1.20725e+09 144 16 9 158.417 2
1.20725e+09 144 16 9 131.376 2
1.20725e+09 144 16 9 157.391 2
1.20725e+09 144 16 9 130.403 2
1.20725e+09 144 16 9 158.463 2
1.20725e+09 144 16 9 129.923 2
1.20725e+09 112 14 8 134.648 2
1.20725e+09 112 14 8 118.53 2
1.20725e+09 112 14 8 117.982 2
1.20725e+09 112 14 8 170.476 2
1.20725e+09 112 14 8 137.3 2
1.20725e+09 112 14 8 116.922 2
1.20725e+09 112 14 8 135.893 2
1.20725e+09 112 14 8 171.37 2
1.20725e+09 112 14 8 118.022 2
1.20725e+09 84 12 7 107.843 2
1.20725e+09 84 12 7 116.46 2
1.20725e+09 84 12 7 111.425 2
1.20725e+09 84 12 7 207.558 2
1.20725e+09 84 12 7 116.317 2
1.20725e+09 84 12 7 107.963 2
1.20725e+09 84 12 7 117.675 2
1.20725e+09 84 12 7 108.035 2
1.20725e+09 84 12 7 207.447 2
1.20725e+09 60 10 6 198.386 2
1.20725e+09 60 10 6 145.404 2
1.20725e+09 60 10 6 116.216 2
1.20725e+09 60 10 6 108.64 2
1.20725e+09 60 10 6 94.7323 2
1.20725e+09 60 10 6 241.492 2
1.20725e+09 60 10 6 116.061 2
1.20725e+09 60 10 6 105.936 2
