Final_energy: Elapsed_timeTemperature B_field System_size No_of_ranks No_of_flips Version 
-1092.55 3.53193 0.001 0 729 27 7290000 2
-896.237 3.62292 0.501 0 729 27 7290000 2
-543.561 3.67205 1.001 0 729 27 7290000 2
-123.574 3.74219 1.501 0 729 27 7290000 2
-84.0662 3.76782 2.001 0 729 27 7290000 2
-63.7464 3.75525 2.501 0 729 27 7290000 2
-40.8065 3.77249 3.001 0 729 27 7290000 2
-38.7765 3.76561 3.501 0 729 27 7290000 2
-31.4302 3.78581 4.001 0 729 27 7290000 2
-32.7051 3.7958 4.501 0 729 27 7290000 2
-40200.7 130.101 0.001 0 27000 27 270000000 2
-32633.5 130.747 0.501 0 27000 27 270000000 2
-19151.2 130.569 1.001 0 27000 27 270000000 2
-6110.41 132.154 1.501 0 27000 27 270000000 2
-4362.13 132.119 2.001 0 27000 27 270000000 2
-3322.98 132.6 2.501 0 27000 27 270000000 2
-2704.78 131.706 3.001 0 27000 27 270000000 2
-2257.21 132.925 3.501 0 27000 27 270000000 2
-1871.95 132.594 4.001 0 27000 27 270000000 2
-1616.47 131.918 4.501 0 27000 27 270000000 2
