Final_energy: Elapsed_timeTemperature B_field System_size No_of_ranks No_of_flips Version 
-1129.6 3.54036 0.001 0.05 729 27 7290000 2
-940.482 3.62786 0.501 0.05 729 27 7290000 2
-613.915 3.69381 1.001 0.05 729 27 7290000 2
-141.537 3.7336 1.501 0.05 729 27 7290000 2
-85.862 3.76215 2.001 0.05 729 27 7290000 2
-61.6549 3.76448 2.501 0.05 729 27 7290000 2
-48.5439 3.80766 3.001 0.05 729 27 7290000 2
-43.6847 3.78746 3.501 0.05 729 27 7290000 2
-37.364 3.76152 4.001 0.05 729 27 7290000 2
-32.1485 3.78554 4.501 0.05 729 27 7290000 2
-41816.9 129.43 0.001 0.05 27000 27 270000000 2
-33990.7 130.37 0.501 0.05 27000 27 270000000 2
-4464.14 132.258 2.001 0.05 27000 27 270000000 2
-3407.14 131.288 2.501 0.05 27000 27 270000000 2
-2734.81 132.729 3.001 0.05 27000 27 270000000 2
