Final_energy Elapsed_time Temperature B_field System_size No_of_ranks No_of_flips Version
-402688 2.51289 0.001 0 1259712 8 1728000 2
-423237 0.967499 0.001 0 1259712 27 1728000 2
-400450 0.401123 0.001 0 1259712 64 1728000 2
-402688 2.47364 0.001 0 1259712 8 1728000 2
-423237 0.984022 0.001 0 1259712 27 1728000 2
-400450 0.421461 0.001 0 1259712 64 1728000 2
-402688 2.56826 0.001 0 1259712 8 1728000 2
-423237 0.97398 0.001 0 1259712 27 1728000 2
-400450 0.399225 0.001 0 1259712 64 1728000 2
-402688 2.46809 0.001 0 1259712 8 1728000 2
-423237 0.970766 0.001 0 1259712 27 1728000 2
-400450 0.402249 0.001 0 1259712 64 1728000 2
-402688 2.50167 0.001 0 1259712 8 1728000 2
-423237 0.998823 0.001 0 1259712 27 1728000 2
-400450 0.4201 0.001 0 1259712 64 1728000 2
-402688 2.46965 0.001 0 1259712 8 1728000 2
-423237 0.975185 0.001 0 1259712 27 1728000 2
-400450 0.476788 0.001 0 1259712 64 1728000 2
-402688 2.55427 0.001 0 1259712 8 1728000 2
-423237 0.972361 0.001 0 1259712 27 1728000 2
-400450 0.405099 0.001 0 1259712 64 1728000 2
-402688 2.54576 0.001 0 1259712 8 1728000 2
-423237 0.971295 0.001 0 1259712 27 1728000 2
-400450 0.403198 0.001 0 1259712 64 1728000 2
-402688 2.49696 0.001 0 1259712 8 1728000 2
-423237 0.973799 0.001 0 1259712 27 1728000 2
-400450 0.401139 0.001 0 1259712 64 1728000 2
-402688 2.49216 0.001 0 1259712 8 1728000 2
-423237 0.989869 0.001 0 1259712 27 1728000 2
-400450 0.413992 0.001 0 1259712 64 1728000 2
-402688 2.49538 0.001 0 1259712 8 1728000 2
-423237 0.975272 0.001 0 1259712 27 1728000 2
-400450 0.420134 0.001 0 1259712 64 1728000 2
-402688 2.47815 0.001 0 1259712 8 1728000 2
-423237 0.974435 0.001 0 1259712 27 1728000 2
-400450 0.400414 0.001 0 1259712 64 1728000 2
-402688 2.487 0.001 0 1259712 8 1728000 2
-423237 0.977071 0.001 0 1259712 27 1728000 2
-400450 0.405584 0.001 0 1259712 64 1728000 2
-402688 2.53181 0.001 0 1259712 8 1728000 2
-423237 0.988661 0.001 0 1259712 27 1728000 2
-400450 0.400054 0.001 0 1259712 64 1728000 2
-402688 2.49518 0.001 0 1259712 8 1728000 2
-423237 0.970025 0.001 0 1259712 27 1728000 2
-400450 0.400793 0.001 0 1259712 64 1728000 2
-402688 2.47037 0.001 0 1259712 8 1728000 2
-423237 0.986747 0.001 0 1259712 27 1728000 2
-400450 0.401496 0.001 0 1259712 64 1728000 2
-402688 2.49761 0.001 0 1259712 8 1728000 2
-423237 0.975625 0.001 0 1259712 27 1728000 2
-400450 0.403257 0.001 0 1259712 64 1728000 2
-402688 2.45865 0.001 0 1259712 8 1728000 2
-423237 0.971262 0.001 0 1259712 27 1728000 2
-400450 0.401443 0.001 0 1259712 64 1728000 2
-402688 2.47769 0.001 0 1259712 8 1728000 2
-423237 0.980173 0.001 0 1259712 27 1728000 2
-400450 0.403229 0.001 0 1259712 64 1728000 2
-402688 2.48456 0.001 0 1259712 8 1728000 2
-423237 0.970423 0.001 0 1259712 27 1728000 2
-400450 0.401773 0.001 0 1259712 64 1728000 2
-402688 2.50035 0.001 0 1259712 8 1728000 2
-423237 0.993973 0.001 0 1259712 27 1728000 2
-400450 0.420022 0.001 0 1259712 64 1728000 2
-402688 2.47813 0.001 0 1259712 8 1728000 2
-423237 0.971015 0.001 0 1259712 27 1728000 2
-400450 0.401582 0.001 0 1259712 64 1728000 2
-402688 2.57947 0.001 0 1259712 8 1728000 2
-423237 0.975892 0.001 0 1259712 27 1728000 2
-400450 0.401481 0.001 0 1259712 64 1728000 2
-402688 2.48858 0.001 0 1259712 8 1728000 2
-423237 0.972711 0.001 0 1259712 27 1728000 2
-400450 0.418142 0.001 0 1259712 64 1728000 2
-402688 2.49668 0.001 0 1259712 8 1728000 2
-423237 0.993859 0.001 0 1259712 27 1728000 2
-400450 0.404315 0.001 0 1259712 64 1728000 2
-394306 11.554 0.001 0 1259712 1 1728000 0
-402688 2.46204 0.001 0 1259712 8 1728000 2
-423237 0.987503 0.001 0 1259712 27 1728000 2
-400450 0.402448 0.001 0 1259712 64 1728000 2
-394306 11.5406 0.001 0 1259712 1 1728000 0
-402688 2.47497 0.001 0 1259712 8 1728000 2
-423237 0.974799 0.001 0 1259712 27 1728000 2
-400450 0.405784 0.001 0 1259712 64 1728000 2
-394306 11.5748 0.001 0 1259712 1 1728000 0
-402688 2.5532 0.001 0 1259712 8 1728000 2
-423237 0.974808 0.001 0 1259712 27 1728000 2
-400450 0.401958 0.001 0 1259712 64 1728000 2
-394306 11.6052 0.001 0 1259712 1 1728000 0
-402688 2.47412 0.001 0 1259712 8 1728000 2
-423237 0.96903 0.001 0 1259712 27 1728000 2
-400450 0.417364 0.001 0 1259712 64 1728000 2
-394306 11.5666 0.001 0 1259712 1 1728000 0
-402688 2.54179 0.001 0 1259712 8 1728000 2
-423237 1.19593 0.001 0 1259712 27 1728000 2
-400450 0.418249 0.001 0 1259712 64 1728000 2
-394306 11.5559 0.001 0 1259712 1 1728000 0
