Final_energy Elapsed_time Temperature B_field System_size No_of_ranks No_of_flips Version
-417.759 0.00320041 0.001 0 1728 8 1728 2
-479.784 0.00279618 0.001 0 1728 27 1728 2
-287.785 0.00177689 0.001 0 1728 64 1728 2
-417.759 0.00322846 0.001 0 1728 8 1728 2
-479.784 0.00206309 0.001 0 1728 27 1728 2
-288.688 0.00179557 0.001 0 1728 64 1728 2
-417.759 0.00308682 0.001 0 1728 8 1728 2
-479.784 0.0017985 0.001 0 1728 27 1728 2
-287.785 0.00166125 0.001 0 1728 64 1728 2
-417.759 0.00265979 0.001 0 1728 8 1728 2
-479.784 0.00182819 0.001 0 1728 27 1728 2
-289.022 0.00141899 0.001 0 1728 64 1728 2
-417.759 0.00272327 0.001 0 1728 8 1728 2
-479.784 0.00157402 0.001 0 1728 27 1728 2
-288.688 0.00161766 0.001 0 1728 64 1728 2
-1742.39 0.0228602 0.001 0 1728 8 17280 2
-1647.52 0.0105223 0.001 0 1728 27 17280 2
-1827.59 0.00620218 0.001 0 1728 64 17280 2
-1742.39 0.0235996 0.001 0 1728 8 17280 2
-1647.52 0.0106946 0.001 0 1728 27 17280 2
-1827.59 0.00608731 0.001 0 1728 64 17280 2
-1742.39 0.0231248 0.001 0 1728 8 17280 2
-1647.52 0.010749 0.001 0 1728 27 17280 2
-1831.31 0.00663754 0.001 0 1728 64 17280 2
-1742.39 0.0231308 0.001 0 1728 8 17280 2
-1647.52 0.0106839 0.001 0 1728 27 17280 2
-1827.59 0.00601518 0.001 0 1728 64 17280 2
-1742.39 0.0225737 0.001 0 1728 8 17280 2
-1647.52 0.0106848 0.001 0 1728 27 17280 2
-1825.09 0.00619449 0.001 0 1728 64 17280 2
-2565.8 0.222793 0.001 0 1728 8 172800 2
-2475.72 0.0953322 0.001 0 1728 27 172800 2
-2567.65 0.0434989 0.001 0 1728 64 172800 2
-2565.8 0.221265 0.001 0 1728 8 172800 2
-2475.72 0.0978877 0.001 0 1728 27 172800 2
-2567.47 0.0435151 0.001 0 1728 64 172800 2
-2565.8 0.223513 0.001 0 1728 8 172800 2
-2475.72 0.0948621 0.001 0 1728 27 172800 2
-2567.47 0.0431792 0.001 0 1728 64 172800 2
-2565.8 0.219802 0.001 0 1728 8 172800 2
-2475.72 0.0938215 0.001 0 1728 27 172800 2
-2567.47 0.0439197 0.001 0 1728 64 172800 2
-2565.8 0.222562 0.001 0 1728 8 172800 2
-2475.72 0.0950415 0.001 0 1728 27 172800 2
-2567.61 0.0434648 0.001 0 1728 64 172800 2
-2591.02 2.18593 0.001 0 1728 8 1728000 2
-2576.59 0.916569 0.001 0 1728 27 1728000 2
-2589.85 0.401324 0.001 0 1728 64 1728000 2
-2591.02 2.1948 0.001 0 1728 8 1728000 2
-2576.59 0.921661 0.001 0 1728 27 1728000 2
-2589.86 0.40132 0.001 0 1728 64 1728000 2
-2591.02 2.18583 0.001 0 1728 8 1728000 2
-2576.59 0.915716 0.001 0 1728 27 1728000 2
-2590.01 0.403827 0.001 0 1728 64 1728000 2
-2591.02 2.21703 0.001 0 1728 8 1728000 2
-2576.59 0.919662 0.001 0 1728 27 1728000 2
-2590.01 0.400689 0.001 0 1728 64 1728000 2
-2591.02 2.19087 0.001 0 1728 8 1728000 2
-2576.59 0.913197 0.001 0 1728 27 1728000 2
-2590.01 0.405314 0.001 0 1728 64 1728000 2
-2591.1 22.1202 0.001 0 1728 8 17280000 2
-2588.31 9.12087 0.001 0 1728 27 17280000 2
-2591.19 3.88108 0.001 0 1728 64 17280000 2
-2591.1 21.864 0.001 0 1728 8 17280000 2
-2588.31 9.07416 0.001 0 1728 27 17280000 2
-2591.19 3.87047 0.001 0 1728 64 17280000 2
-2591.1 22.0193 0.001 0 1728 8 17280000 2
-2588.31 9.19831 0.001 0 1728 27 17280000 2
-2591.19 3.87373 0.001 0 1728 64 17280000 2
-2591.1 21.8038 0.001 0 1728 8 17280000 2
-2588.31 9.10784 0.001 0 1728 27 17280000 2
-2591.19 3.9124 0.001 0 1728 64 17280000 2
-2591.1 22.0513 0.001 0 1728 8 17280000 2
-2588.31 9.10515 0.001 0 1728 27 17280000 2
-2591.19 3.89705 0.001 0 1728 64 17280000 2
-667.35 0.00377393 0.001 0 13824 8 1728 2
-898.076 0.00220379 0.001 0 13824 27 1728 2
-103.561 0.00192809 0.001 0 13824 64 1728 2
-667.35 0.00403964 0.001 0 13824 8 1728 2
-898.076 0.00215322 0.001 0 13824 27 1728 2
-103.561 0.00441829 0.001 0 13824 64 1728 2
-667.35 0.00490661 0.001 0 13824 8 1728 2
-898.076 0.00210087 0.001 0 13824 27 1728 2
-104.337 0.00154619 0.001 0 13824 64 1728 2
-667.35 0.00383627 0.001 0 13824 8 1728 2
-898.076 0.00234609 0.001 0 13824 27 1728 2
-103.96 0.00194271 0.001 0 13824 64 1728 2
-667.35 0.00372949 0.001 0 13824 8 1728 2
-898.076 0.00289264 0.001 0 13824 27 1728 2
-103.561 0.00146995 0.001 0 13824 64 1728 2
-4217.34 0.0235883 0.001 0 13824 8 17280 2
-4356.6 0.0109595 0.001 0 13824 27 17280 2
-3835.55 0.00626583 0.001 0 13824 64 17280 2
-4217.34 0.0235177 0.001 0 13824 8 17280 2
-4356.6 0.0109621 0.001 0 13824 27 17280 2
-3835.55 0.00631292 0.001 0 13824 64 17280 2
-4217.34 0.0234494 0.001 0 13824 8 17280 2
-4356.6 0.0116935 0.001 0 13824 27 17280 2
-3835.55 0.00609867 0.001 0 13824 64 17280 2
-4217.34 0.0250837 0.001 0 13824 8 17280 2
-4358.24 0.0118021 0.001 0 13824 27 17280 2
-3835.39 0.00643203 0.001 0 13824 64 17280 2
-4217.34 0.0247912 0.001 0 13824 8 17280 2
-4356.6 0.0113053 0.001 0 13824 27 17280 2
-3835.68 0.00641704 0.001 0 13824 64 17280 2
-12709.2 0.221557 0.001 0 13824 8 172800 2
-12827 0.0952474 0.001 0 13824 27 172800 2
-15503.2 0.0440064 0.001 0 13824 64 172800 2
-12709.2 0.22445 0.001 0 13824 8 172800 2
-12827 0.0951664 0.001 0 13824 27 172800 2
-15503.2 0.0436771 0.001 0 13824 64 172800 2
-12709.2 0.220705 0.001 0 13824 8 172800 2
-12827 0.0948175 0.001 0 13824 27 172800 2
-15503.2 0.0443409 0.001 0 13824 64 172800 2
-12709.2 0.224069 0.001 0 13824 8 172800 2
-12827 0.0937175 0.001 0 13824 27 172800 2
-15502.8 0.044089 0.001 0 13824 64 172800 2
-12709.2 0.22081 0.001 0 13824 8 172800 2
-12827 0.0961113 0.001 0 13824 27 172800 2
-15503.2 0.044509 0.001 0 13824 64 172800 2
-18388.1 2.21335 0.001 0 13824 8 1728000 2
-18036.4 0.912092 0.001 0 13824 27 1728000 2
-20650.3 0.397381 0.001 0 13824 64 1728000 2
-18388.1 2.18725 0.001 0 13824 8 1728000 2
-18036.4 0.90921 0.001 0 13824 27 1728000 2
-20650.3 0.401896 0.001 0 13824 64 1728000 2
-18388.1 2.20843 0.001 0 13824 8 1728000 2
-18036.4 0.913721 0.001 0 13824 27 1728000 2
-20650.3 0.396298 0.001 0 13824 64 1728000 2
-18388.1 2.20969 0.001 0 13824 8 1728000 2
-18036.4 0.912185 0.001 0 13824 27 1728000 2
-20650.3 0.400668 0.001 0 13824 64 1728000 2
-18388.1 2.19303 0.001 0 13824 8 1728000 2
-18036.4 0.914926 0.001 0 13824 27 1728000 2
-20650.3 0.397495 0.001 0 13824 64 1728000 2
-20196.3 22.0592 0.001 0 13824 8 17280000 2
-20161.2 9.12147 0.001 0 13824 27 17280000 2
-20728.7 3.84913 0.001 0 13824 64 17280000 2
-20196.3 22.0376 0.001 0 13824 8 17280000 2
-20161.2 9.04268 0.001 0 13824 27 17280000 2
-20728.7 3.84039 0.001 0 13824 64 17280000 2
-20196.3 21.912 0.001 0 13824 8 17280000 2
-20161.2 9.07667 0.001 0 13824 27 17280000 2
-20728.7 3.89946 0.001 0 13824 64 17280000 2
-20196.3 22.0177 0.001 0 13824 8 17280000 2
-20161.2 9.11825 0.001 0 13824 27 17280000 2
-20728.7 3.83964 0.001 0 13824 64 17280000 2
-20196.3 21.8282 0.001 0 13824 8 17280000 2
-20161.2 9.13185 0.001 0 13824 27 17280000 2
-20728.7 3.90634 0.001 0 13824 64 17280000 2
1207.56 0.00662048 0.001 0 46656 8 1728 2
-951.472 0.0043683 0.001 0 46656 27 1728 2
-2263.07 0.00286675 0.001 0 46656 64 1728 2
1207.56 0.00665863 0.001 0 46656 8 1728 2
-951.472 0.00272199 0.001 0 46656 27 1728 2
-2263.07 0.00277804 0.001 0 46656 64 1728 2
1207.56 0.00934965 0.001 0 46656 8 1728 2
-951.472 0.0026639 0.001 0 46656 27 1728 2
-2263.07 0.00230495 0.001 0 46656 64 1728 2
1207.56 0.0102679 0.001 0 46656 8 1728 2
-951.472 0.00261872 0.001 0 46656 27 1728 2
-2263.07 0.0018863 0.001 0 46656 64 1728 2
1207.56 0.0101948 0.001 0 46656 8 1728 2
-951.472 0.00424955 0.001 0 46656 27 1728 2
-2263.07 0.00188989 0.001 0 46656 64 1728 2
-4484.14 0.026212 0.001 0 46656 8 17280 2
-5627.24 0.0128404 0.001 0 46656 27 17280 2
-7161.88 0.0059254 0.001 0 46656 64 17280 2
-4484.14 0.0265223 0.001 0 46656 8 17280 2
-5627.24 0.0112427 0.001 0 46656 27 17280 2
-7161.88 0.00684556 0.001 0 46656 64 17280 2
-4484.14 0.0297276 0.001 0 46656 8 17280 2
-5627.24 0.0113377 0.001 0 46656 27 17280 2
-7161.88 0.00686489 0.001 0 46656 64 17280 2
-4484.14 0.0287653 0.001 0 46656 8 17280 2
-5627.24 0.0127202 0.001 0 46656 27 17280 2
-7161.88 0.00709695 0.001 0 46656 64 17280 2
-4484.14 0.0263472 0.001 0 46656 8 17280 2
-5627.24 0.0112877 0.001 0 46656 27 17280 2
-7161.88 0.00627118 0.001 0 46656 64 17280 2
-26002.6 0.229061 0.001 0 46656 8 172800 2
-26375.3 0.0964957 0.001 0 46656 27 172800 2
-27762.6 0.0433252 0.001 0 46656 64 172800 2
-26002.6 0.224005 0.001 0 46656 8 172800 2
-26375.3 0.0936654 0.001 0 46656 27 172800 2
-27762.6 0.0438276 0.001 0 46656 64 172800 2
-26002.6 0.223577 0.001 0 46656 8 172800 2
-26375.3 0.0970491 0.001 0 46656 27 172800 2
-27762.6 0.0439095 0.001 0 46656 64 172800 2
-26002.6 0.225849 0.001 0 46656 8 172800 2
-26375.3 0.0945623 0.001 0 46656 27 172800 2
-27762.6 0.0434631 0.001 0 46656 64 172800 2
-26002.6 0.224534 0.001 0 46656 8 172800 2
-26375.3 0.0965808 0.001 0 46656 27 172800 2
-27762.6 0.0430151 0.001 0 46656 64 172800 2
-53489.9 2.22128 0.001 0 46656 8 1728000 2
-53990.9 0.912932 0.001 0 46656 27 1728000 2
-53549.9 0.395695 0.001 0 46656 64 1728000 2
-53489.9 2.21788 0.001 0 46656 8 1728000 2
-53990.9 0.919064 0.001 0 46656 27 1728000 2
-53549.9 0.400873 0.001 0 46656 64 1728000 2
-53489.9 2.19545 0.001 0 46656 8 1728000 2
-53990.9 0.921127 0.001 0 46656 27 1728000 2
-53549.9 0.39613 0.001 0 46656 64 1728000 2
-53489.9 2.23187 0.001 0 46656 8 1728000 2
-53990.9 0.914359 0.001 0 46656 27 1728000 2
-53549.9 0.40048 0.001 0 46656 64 1728000 2
-53489.9 2.22464 0.001 0 46656 8 1728000 2
-53990.9 0.929339 0.001 0 46656 27 1728000 2
-53549.9 0.395045 0.001 0 46656 64 1728000 2
-63659.4 21.9569 0.001 0 46656 8 17280000 2
-65076.6 9.11366 0.001 0 46656 27 17280000 2
-63550.9 3.82657 0.001 0 46656 64 17280000 2
-63659.4 22.1029 0.001 0 46656 8 17280000 2
-65076.6 9.09716 0.001 0 46656 27 17280000 2
-63550.9 3.83237 0.001 0 46656 64 17280000 2
-63659.4 22.1186 0.001 0 46656 8 17280000 2
-65076.6 9.14914 0.001 0 46656 27 17280000 2
-63550.9 3.88811 0.001 0 46656 64 17280000 2
-63659.4 22.0974 0.001 0 46656 8 17280000 2
-65076.6 9.08308 0.001 0 46656 27 17280000 2
-63550.9 3.84915 0.001 0 46656 64 17280000 2
-63659.4 21.9951 0.001 0 46656 8 17280000 2
-65076.6 9.10512 0.001 0 46656 27 17280000 2
-63550.9 3.89202 0.001 0 46656 64 17280000 2
5807.87 0.0195062 0.001 0 110592 8 1728 2
-558.024 0.00435705 0.001 0 110592 27 1728 2
-1181.58 0.00418426 0.001 0 110592 64 1728 2
5807.87 0.0192378 0.001 0 110592 8 1728 2
-558.024 0.0044762 0.001 0 110592 27 1728 2
-1181.58 0.00246387 0.001 0 110592 64 1728 2
5807.87 0.0122414 0.001 0 110592 8 1728 2
-558.024 0.00585554 0.001 0 110592 27 1728 2
-1181.58 0.00251044 0.001 0 110592 64 1728 2
5807.87 0.0122565 0.001 0 110592 8 1728 2
-558.024 0.00771197 0.001 0 110592 27 1728 2
-1181.58 0.00238314 0.001 0 110592 64 1728 2
5807.87 0.0120874 0.001 0 110592 8 1728 2
-558.024 0.00437518 0.001 0 110592 27 1728 2
-1181.58 0.00337672 0.001 0 110592 64 1728 2
-1033.83 0.0320258 0.001 0 110592 8 17280 2
-5530.98 0.0152004 0.001 0 110592 27 17280 2
-6036.13 0.00636233 0.001 0 110592 64 17280 2
-1033.83 0.039203 0.001 0 110592 8 17280 2
-5530.98 0.0157149 0.001 0 110592 27 17280 2
-6036.13 0.00686466 0.001 0 110592 64 17280 2
-1033.83 0.0405529 0.001 0 110592 8 17280 2
-5530.98 0.0130774 0.001 0 110592 27 17280 2
-6036.13 0.00838888 0.001 0 110592 64 17280 2
-1033.83 0.0323832 0.001 0 110592 8 17280 2
-5530.98 0.0165188 0.001 0 110592 27 17280 2
-6036.13 0.00633789 0.001 0 110592 64 17280 2
-1033.83 0.0319886 0.001 0 110592 8 17280 2
-5530.98 0.0130198 0.001 0 110592 27 17280 2
-6036.13 0.00648023 0.001 0 110592 64 17280 2
-37011.8 0.232725 0.001 0 110592 8 172800 2
-37859.6 0.0961883 0.001 0 110592 27 172800 2
-37864.1 0.0452445 0.001 0 110592 64 172800 2
-37011.8 0.238526 0.001 0 110592 8 172800 2
-37859.6 0.0963864 0.001 0 110592 27 172800 2
-37864.1 0.0434654 0.001 0 110592 64 172800 2
-37011.8 0.231366 0.001 0 110592 8 172800 2
-37859.6 0.0969269 0.001 0 110592 27 172800 2
-37864.1 0.0449403 0.001 0 110592 64 172800 2
-37011.8 0.232131 0.001 0 110592 8 172800 2
-37859.6 0.0946682 0.001 0 110592 27 172800 2
-37864.1 0.0434998 0.001 0 110592 64 172800 2
-37011.8 0.23904 0.001 0 110592 8 172800 2
-37859.6 0.0962828 0.001 0 110592 27 172800 2
-37864.1 0.0440386 0.001 0 110592 64 172800 2
-108030 2.24779 0.001 0 110592 8 1728000 2
-105310 0.916847 0.001 0 110592 27 1728000 2
-107721 0.394963 0.001 0 110592 64 1728000 2
-108030 2.24272 0.001 0 110592 8 1728000 2
-105310 0.914874 0.001 0 110592 27 1728000 2
-107721 0.399987 0.001 0 110592 64 1728000 2
-108030 2.2293 0.001 0 110592 8 1728000 2
-105310 0.907623 0.001 0 110592 27 1728000 2
-107721 0.407048 0.001 0 110592 64 1728000 2
-108030 2.25064 0.001 0 110592 8 1728000 2
-105310 0.91703 0.001 0 110592 27 1728000 2
-107721 0.403145 0.001 0 110592 64 1728000 2
-108030 2.2406 0.001 0 110592 8 1728000 2
-105310 0.914545 0.001 0 110592 27 1728000 2
-107721 0.398258 0.001 0 110592 64 1728000 2
-144642 22.3826 0.001 0 110592 8 17280000 2
-143931 9.0722 0.001 0 110592 27 17280000 2
-147821 3.8237 0.001 0 110592 64 17280000 2
-144642 22.387 0.001 0 110592 8 17280000 2
-143931 9.04566 0.001 0 110592 27 17280000 2
-147821 3.83407 0.001 0 110592 64 17280000 2
-144642 22.2624 0.001 0 110592 8 17280000 2
-143931 9.11984 0.001 0 110592 27 17280000 2
-147821 3.87058 0.001 0 110592 64 17280000 2
-144642 22.3721 0.001 0 110592 8 17280000 2
-143931 9.03952 0.001 0 110592 27 17280000 2
-147821 3.83275 0.001 0 110592 64 17280000 2
-144642 22.0923 0.001 0 110592 8 17280000 2
-143931 9.14287 0.001 0 110592 27 17280000 2
-147821 3.8976 0.001 0 110592 64 17280000 2
-12871.7 0.0323104 0.001 0 216000 8 1728 2
-2529.92 0.00701751 0.001 0 216000 27 1728 2
-1666.68 0.00715781 0.001 0 216000 64 1728 2
-12871.7 0.031972 0.001 0 216000 8 1728 2
-2529.92 0.00733669 0.001 0 216000 27 1728 2
-1666.68 0.00607 0.001 0 216000 64 1728 2
-12871.7 0.0331404 0.001 0 216000 8 1728 2
-2529.92 0.0122798 0.001 0 216000 27 1728 2
-1666.68 0.00725202 0.001 0 216000 64 1728 2
-12871.7 0.0211932 0.001 0 216000 8 1728 2
-2529.92 0.00711282 0.001 0 216000 27 1728 2
-1666.68 0.00624265 0.001 0 216000 64 1728 2
-12871.7 0.0207847 0.001 0 216000 8 1728 2
-2529.92 0.0121985 0.001 0 216000 27 1728 2
-1666.68 0.0058186 0.001 0 216000 64 1728 2
-17935.5 0.0417694 0.001 0 216000 8 17280 2
-7759.43 0.0152996 0.001 0 216000 27 17280 2
-7823.52 0.00756429 0.001 0 216000 64 17280 2
-17935.5 0.0524682 0.001 0 216000 8 17280 2
-7759.43 0.0156191 0.001 0 216000 27 17280 2
-7823.52 0.0074019 0.001 0 216000 64 17280 2
-17935.5 0.041663 0.001 0 216000 8 17280 2
-7759.43 0.0211657 0.001 0 216000 27 17280 2
-7823.52 0.0106739 0.001 0 216000 64 17280 2
-17935.5 0.042451 0.001 0 216000 8 17280 2
-7759.43 0.0153732 0.001 0 216000 27 17280 2
-7823.52 0.0113052 0.001 0 216000 64 17280 2
-17935.5 0.0412992 0.001 0 216000 8 17280 2
-7759.43 0.0155365 0.001 0 216000 27 17280 2
-7823.52 0.00756079 0.001 0 216000 64 17280 2
-55864.1 0.246143 0.001 0 216000 8 172800 2
-48512.1 0.0991081 0.001 0 216000 27 172800 2
-49534.8 0.0448567 0.001 0 216000 64 172800 2
-55864.1 0.25626 0.001 0 216000 8 172800 2
-48512.1 0.0980146 0.001 0 216000 27 172800 2
-49534.8 0.0444956 0.001 0 216000 64 172800 2
-55864.1 0.258749 0.001 0 216000 8 172800 2
-48512.1 0.0987941 0.001 0 216000 27 172800 2
-49534.8 0.048262 0.001 0 216000 64 172800 2
-55864.1 0.246423 0.001 0 216000 8 172800 2
-48512.1 0.0985541 0.001 0 216000 27 172800 2
-49534.8 0.0442936 0.001 0 216000 64 172800 2
-55864.1 0.259114 0.001 0 216000 8 172800 2
-48512.1 0.103504 0.001 0 216000 27 172800 2
-49534.8 0.0475998 0.001 0 216000 64 172800 2
-167588 2.31502 0.001 0 216000 8 1728000 2
-171504 0.915817 0.001 0 216000 27 1728000 2
-173390 0.394494 0.001 0 216000 64 1728000 2
-167588 2.3118 0.001 0 216000 8 1728000 2
-171504 0.920321 0.001 0 216000 27 1728000 2
-173390 0.398108 0.001 0 216000 64 1728000 2
-167588 2.30304 0.001 0 216000 8 1728000 2
-171504 0.914863 0.001 0 216000 27 1728000 2
-173390 0.398864 0.001 0 216000 64 1728000 2
-167588 2.32269 0.001 0 216000 8 1728000 2
-171504 0.921256 0.001 0 216000 27 1728000 2
-173390 0.398898 0.001 0 216000 64 1728000 2
-167588 2.3059 0.001 0 216000 8 1728000 2
-171504 0.92108 0.001 0 216000 27 1728000 2
-173390 0.398755 0.001 0 216000 64 1728000 2
-266331 22.9619 0.001 0 216000 8 17280000 2
-270052 9.10662 0.001 0 216000 27 17280000 2
-265999 3.84604 0.001 0 216000 64 17280000 2
-266331 22.9336 0.001 0 216000 8 17280000 2
-270052 9.12422 0.001 0 216000 27 17280000 2
-265999 3.83167 0.001 0 216000 64 17280000 2
-266331 22.7706 0.001 0 216000 8 17280000 2
-270052 9.17759 0.001 0 216000 27 17280000 2
-265999 3.88181 0.001 0 216000 64 17280000 2
-266331 22.9962 0.001 0 216000 8 17280000 2
-270052 9.04988 0.001 0 216000 27 17280000 2
-265999 3.8584 0.001 0 216000 64 17280000 2
-266331 22.7553 0.001 0 216000 8 17280000 2
-270052 9.09711 0.001 0 216000 27 17280000 2
-265999 3.90657 0.001 0 216000 64 17280000 2
-12226.7 0.0352785 0.001 0 373248 8 1728 2
21569.4 0.0110812 0.001 0 373248 27 1728 2
14513.3 0.00541388 0.001 0 373248 64 1728 2
-12226.7 0.0521238 0.001 0 373248 8 1728 2
21569.4 0.0202522 0.001 0 373248 27 1728 2
14513.3 0.00546836 0.001 0 373248 64 1728 2
-12226.7 0.0342196 0.001 0 373248 8 1728 2
21569.4 0.0116084 0.001 0 373248 27 1728 2
14513.3 0.0053436 0.001 0 373248 64 1728 2
-12226.7 0.0343309 0.001 0 373248 8 1728 2
21569.4 0.0111083 0.001 0 373248 27 1728 2
14513.3 0.0117566 0.001 0 373248 64 1728 2
